LAT	IT	DE	FR	ES	PT	EN
Oceanodroma sp. (Band-rumped complex)	Uccello delle tempeste di Castro	Madeirawellenläufer	Océanite de Castro	Paíño de Madeira	Painho-da-ilha-da-madeira	Oceanodroma sp. (Band-rumped complex)
Oceanodroma sp.			Oceanodroma sp.			Oceanodroma sp.
Oceanitidae/Hydrobatidae sp. (dark-rumped)			Océanite sp. (croupion sombre)			storm-petrel sp. (dark-rumped)
Oceanitidae/Hydrobatidae sp. (white-rumped)			Océanite sp. (croupion pâle)			storm-petrel sp. (white-rumped)
Oceanitidae/Hydrobatidae sp.			Océanite sp.			storm-petrel sp.
Macronectes giganteus	Ossifraga	Riesensturmvogel	Pétrel géant	Abanto marino antártico	Petrel-gigante	Southern Giant-Petrel
Macronectes giganteus/halli	Ossifraga	Riesensturmvogel	Pétrel géant	Abanto-marino Antártico	Petrel-gigante	Northern/Southern Giant-Petrel
Fulmarus glacialis	Fulmaro	Eissturmvogel	Fulmar boréal	Fulmar Boreal	Fulmar-glacial	Northern Fulmar
Fulmarus glacialis glacialis/auduboni	Fulmaro artico	Eissturmvogel	Fulmar boréal	Fulmar Boreal	Fulmar-glacial	Northern Fulmar (Atlantic)
Daption capense	Procellaria del Capo	Kapsturmvogel	Damier du Cap	Petrel Damero	Pomba-do-cabo	Cape Petrel
Daption capense capense			Damier du Cap (nominal)	Damero de El Cabo		Cape Petrel (Antarctic)
Pterodroma neglecta	Petrello delle Kermadec	Kermadecsturmvogel	Pétrel des Kermadec	Petrel de las Kermadec	Petrel-de-kermadec	Kermadec Petrel
Pterodroma arminjoniana	Petrello di Arminjon	Trinidadsturmvogel	Pétrel de Trindade	Petrel de la Trindade	Pardela da Trindade	Trindade Petrel
Pterodroma arminjoniana/heraldica	Petrello di Tonga	Trinidadsturmvogel	Pétrel de Trindade	Petrel de la Trindade	Crazina-da-trindade	Trindade/Herald Petrel
Pterodroma madeira	Petrello di Madera	Madeirasturmvogel	Pétrel de Madère	Petrel Freira	Freira da Madeira	Zino's Petrel
Pterodroma feae	Petrello di Fea	Kapverdensturmvogel	Pétrel gongon	Petrel Gon-gon	Freira do Bugio	Fea's Petrel
Pterodroma feae feae	Petrello di Fea	Kapverdensturmvogel	Pétrel gongon	Petrel gongón	Gon-gon	Fea's Petrel (Fea's)
Pterodroma feae deserta	Petrello delle Desertas	Desertassturmvogel	Pétrel des Desertas	Petrel de las Desertas	grazina-de-desertas	Fea's Petrel (Desertas)
Pterodroma madeira/feae			Pétrel de Madère ou P. gongon			Zino's/Fea's Petrel
Pterodroma cahow	Cahow	Bermudasturmvogel	Pétrel des Bermudes	Petrel Cahow	Freira-das-Bermudas	Bermuda Petrel
Pterodroma hasitata	Petrello dal cappuccio	Teufelssturmvogel	Pétrel diablotin	Petrel Antillano	Grazina-de-coroa-preta	Black-capped Petrel
Pterodroma hasitata hasitata	Petrello dal cappuccio	Teufelssturmvogel	Pétrel diablotin	Petrel Antillano	diablotim	Black-capped Petrel (hasitata)
Pterodroma incerta	Petrello di Schlegel	Schlegelsturmvogel	Pétrel de Schlegel	Petrel de Schlegel	Grazina-de-barrjga-branca	Atlantic Petrel
Pterodroma sp.			Pterodroma sp.			Pterodroma sp.
Bulweria bulwerii	Berta di Bulwer	Bulwersturmvogel	Pétrel de Bulwer	Petrel de Bulwer	Alma-negra	Bulwer's Petrel
Procellaria sp.			Procellaria sp.			Procellaria sp.
Calonectris diomedea	Berta maggiore	Gelbschnabelsturmtaucher	Puffin cendré	Pardela cenicienta	Bobo-grande	Cory's Shearwater
Calonectris diomedea diomedea	Berta maggiore mediterranea	Sepiasturmtaucher	Puffin de Scopoli	Pardela cenicienta mediterránea	bobo-grande	Cory's Shearwater (Scopoli's)
Calonectris diomedea borealis	Berta maggiore atlantica	Corysturmtaucher	Puffin cendré	Pardela cenicienta canaria	Cagarra	Cory's Shearwater (borealis)
Calonectris edwardsii	Berta maggiore di Capo Verde	Kapverden-Sturmtaucher	Puffin du Cap-Vert	Pardela cenicienta caboverdiana	Cagarra de Cabo Verde	Cape Verde Shearwater
Calonectris diomedea/edwardsii	Berta maggiore	Gelbschnabel-Sturmtaucher	Puffin cendré	Pardela Cenicienta	Cagarra	Cory's/Cape Verde Shearwater
Ardenna gravis	Berta dell'Atlantico	Großer Sturmtaucher	Puffin majeur	Pardela Capirotada	Pardela-de-bico-preto	Great Shearwater
Calonectris diomedea/Ardenna gravis			Puffin cendré ou P. majeur			Cory's/Great Shearwater
Ardenna grisea	Berta grigia	Dunkler Sturmtaucher	Puffin fuligineux	Pardela Sombría	Pardela-preta	Sooty Shearwater
Ardenna tenuirostris	Berta codacorta	Kurzschwanz-Sturmtaucher	Puffin à bec grêle	Pardela de Tasmania	Bobo-de-cauda-curta	Short-tailed Shearwater
Puffinus puffinus	Berta minore atlantica	Atlantiksturmtaucher	Puffin des Anglais	Pardela Pichoneta	Pardela-sombria	Manx Shearwater
Puffinus yelkouan	Berta minore	Mittelmeer-Sturmtaucher	Puffin yelkouan	Pardela Mediterránea	Pardela do Mediterrâneo	Yelkouan Shearwater
Puffinus mauretanicus	Berta balearica	Balearensturmtaucher	Puffin des Baléares	Pardela Balear	Pardela do Mediterrâneo	Balearic Shearwater
Puffinus yelkouan/mauretanicus	Berta minore	Mittelmeer-Sturmtaucher	Puffin yelkouan	Pardela Mediterránea	Pardela do Mediterrâneo	Yelkouan/Balearic Shearwater
Puffinus baroli	Berta della Macaronesia	Barolosturmtaucher	Puffin de Macaronésie	Pardela de Barolo	Pintainho	Barolo Shearwater
Puffinus boydi	Berta di Boyd	Boydsturmtaucher	Puffin de Boyd	Pardela Chica de Cabo Verde	Pardela-chica-de-cabo-verde	Boyd's Shearwater
Puffinus baroli/boydi	Berta della Macaronesia	Makaronesischer Sturmtaucher	Puffin de Macaronésie		Pintainho	Barolo/Boyd's Shearwater (Macaronesian Shearwater)
Puffinus lherminieri	Berta di Audubon	Audubonsturmtaucher	Puffin d'Audubon	Pardela de Audubon	Pardela-de-asa-larga	Audubon's Shearwater
Puffinus bailloni bailloni			Puffin de Baillon (bailloni)			Tropical Shearwater (Mascarene)
Puffinus bannermani/bailloni	Berta di Baillon	Tropensturmtaucher	Puffin de Baillon	Pardela tropical	Pardela-de-audubon	Bannerman's/Tropical Shearwater
Puffinus sp. (black-and-white shearwater sp.)			Puffinus sp.			black-and-white shearwater sp.
Procellariidae sp. (shearwater sp.)			Calonectris sp. ou Puffinus sp.			shearwater sp.
Procellariidae sp.			Puffin sp.			Procellariid sp.
Ciconia nigra	Cicogna nera	Schwarzstorch	Cigogne noire	Cigüeña Negra	Cegonha-preta	Black Stork
Ciconia ciconia	Cicogna bianca	Weißstorch	Cigogne blanche	Cigüeña Blanca	Cegonha-branca	White Stork
Ciconia sp.			Ciconia sp.			Ciconia sp.
Leptoptilos crumenifer	Marabù	Marabu	Marabout d'Afrique	Marabú Africano	Marabu-africano	Marabou Stork
Ciconiidae sp.			Cigogne sp.			stork sp.
Fregata magnificens	Fregata magnifica	Prachtfregattvogel	Frégate superbe	Rabihorcado Magnífico	Fragata-comum	Magnificent Frigatebird
Fregata sp.			Fregata sp.			frigatebird sp.
Sula dactylatra	Sula mascherata	Maskentölpel	Fou masqué	Piquero Enmascarado	Atobá-grande	Masked Booby
Sula dactylatra/granti	Sula mscherata	Maskentölpel	Fou masqué	Piquero Enmascarado	Atobá grande	Masked/Nazca Booby
Sula leucogaster	Sula fosca	Weißbauchtölpel	Fou brun	Piquero Pardo	Alcatraz	Brown Booby
Sula leucogaster leucogaster	Sula fosca	Weissbauchtölpel-leucogaster	Fou brun (Atlantique)	Piquero Pardo	Alcatraz	Brown Booby (Atlantic)
Sula sula	Sula zamperosse	Rotfußtölpel	Fou à pieds rouges	Piquero Patirrojo	Atobá-de-pé-vermelho	Red-footed Booby
Sula sula sula			Fou à pieds rouges (Atlantique)			Red-footed Booby (Atlantic)
Morus bassanus	Sula	Basstölpel	Fou de Bassan	Alcatraz Atlántico	Ganso-patola	Northern Gannet
Morus capensis	Sula del Capo	Kaptölpel	Fou du Cap	Alcatraz de El Cabo	Atobá-do-cabo	Cape Gannet
Sulidae sp.			Fou sp.			sulid sp.
Microcarbo pygmaeus	Marangone minore	Zwergscharbe	Cormoran pygmée	Cormorán Pigmeo	Corvo-marinho-pigmeu	Pygmy Cormorant
Phalacrocorax perspicillatus	Cormorano di Pallas	Pallasscharbe	Cormoran de Pallas	Cormorán de anteojos	Cormorão-de-lunetas	Pallas's Cormorant
Phalacrocorax carbo	Cormorano	Kormoran	Grand Cormoran	Cormorán Grande	Corvo-marinho-de-faces-brancas	Great Cormorant
Phalacrocorax carbo carbo/sinensis			Grand Cormoran [à poitrine sombre]			Great Cormorant (Dark-breasted)
Phalacrocorax carbo carbo	Marangone	Kormoran	Grand Cormoran (Atlantique)	Cormorán grande		Great Cormorant (North Atlantic)
Phalacrocorax carbo sinensis/hanedae	Cormorano continentale	Kontinentaler Kormoran	Grand Cormoran [sinensis ou hanedae]	Cormorán grande continental		Great Cormorant (Eurasian)
Phalacrocorax carbo maroccanus	Marangone	Kormoran-maroccanus	Grand Cormoran du Maroc	Cormorán grande		Great Cormorant (Moroccan)
Phalacrocorax carbo lucidus	Cormorano pettobianco	Weißbrustkormoran	Cormoran à poitrine blanche	Cormorán Cuelliblanco	corvo-marinho-de-faces-brancas	Great Cormorant (White-breasted)
Phalacrocorax aristotelis	Marangone dal ciuffo	Krähenscharbe	Cormoran huppé	Cormorán Moñudo	Corvo-marinho-de-crista	European Shag
Phalacrocorax aristotelis aristotelis	Marangone dal ciuffo	Krähenscharbe-aristotelis	Cormoran huppé (nominal)	Cormorán Moñudo	Corvo-marinho-de-crista	European Shag (Atlantic)
Phalacrocorax aristotelis desmarestii	Marangone dal ciuffo del Mediterraneo	Mittelmeer Krähenscharbe	Cormoran huppé (Méditérannée)	Cormorán moñudo mediterráneo		European Shag (Mediterranean)
Phalacrocorax carbo/aristotelis			Grand Cormoran ou C. huppé			Great Cormorant/European Shag
Phalacrocorax auritus	Cormorano orecchiuto	Ohrenscharbe	Cormoran à aigrettes	Cormorán Orejudo	Corvo-marinho-de-orelhas	Double-crested Cormorant
Phalacrocoracidae sp.			Phalacrocorax sp.			cormorant sp.
Pelecanus onocrotalus	Pellicano comune	Rosapelikan	Pélican blanc	Pelícano Común	Pelicano-vulgar	Great White Pelican
Pelecanus crispus	Pellicano riccio	Krauskopfpelikan	Pélican frisé	Pelícano Ceñudo	Pelicano-crespo	Dalmatian Pelican
Pelecanus onocrotalus x crispus			Hybride Pélican blanc x P. frisé			Great White x Dalmatian Pelican (hybrid)
Pelecanus sp.			Pélican sp.			pelican sp.
Botaurus lentiginosus	Tarabuso americano	Nordamerikanische Rohrdommel	Butor d'Amérique	Avetoro Lentiginoso	Abetouro-lentiginoso	American Bittern
Botaurus stellaris	Tarabuso	Rohrdommel	Butor étoilé	Avetoro Común	Abetouro-comum	Great Bittern
Ixobrychus minutus	Tarabusino	Zwergdommel	Blongios nain	Avetorillo común	Garça-pequena	Little Bittern
Ixobrychus minutus minutus	Tarabusino	Zwergdommel-minutus	Blongios nain (nominal)			Little Bittern (Little)
Ixobrychus eurhythmus	Tarabusino orientale	Mandschurendommel	Blongios de Schrenck	Avetorillo Manchú	Garçote da Manchúria	Schrenck's Bittern
Ixobrychus sturmii	Tarabusino nano	Graurückendommel	Blongios de Sturm	Avetorillo Plomizo	Garçote-anão	Dwarf Bittern
Ixobrychus exilis	Tarabusino americano	Amerikanische Zwergdommel	Petit Blongios	Avetorillo americano	Socoí-vermelho	Least Bittern
Ardea herodias	Airone azzurro	Kanadareiher	Grand Héron	Garza Azulada	Garça-azul-grande	Great Blue Heron
Ardea herodias [herodias Group]	Airone azzurro maggiore	Kanadareiher	Grand Héron	Garza Azulada	Garça-azul-grande	Great Blue Heron (Blue form)
Ardea cinerea	Airone cenerino	Graureiher	Héron cendré	Garza Real	Garça-real	Gray Heron
Ardea cinerea cinerea/jouyi		Graureiher-cinerea	Héron cendré [cinerea ou jouyi]			Gray Heron (Gray)
Ardea melanocephala	Airone testanera	Schwarzhalsreiher	Héron mélanocéphale	Garza Cabecinegra	Garça-de-cabeça-preta	Black-headed Heron
Ardea purpurea	Airone rosso	Purpurreiher	Héron pourpré	Garza Imperial	Garça-roxa	Purple Heron
Ardea purpurea [purpurea Group]	Airone rosso	Purpurreiher-purpurea	Héron pourpré	Garza Imperial	garça-roxa	Purple Heron (Purple)
Ardea cinerea/purpurea			Héron cendré ou H. pourpré			Gray/Purple Heron
Ardea alba	Airone bianco maggiore	Silberreiher	Grande Aigrette	Garceta Grande	Garça-branca-grande	Great Egret
Ardea alba alba	Airone bianco maggiore	Silberreiher	Grande Aigrette (Eurasie)			Great Egret (Eurasian)
Ardea alba egretta			Grande Aigrette (Amérique)	Garza Blanca	Garça-branca-grande	Great Egret (American)
Ardea alba modesta	Airone bianco maggiore	Silberreiher-modesta	Aigrette d'Australasie			Great Egret (Australasian)
Ardea intermedia	Airone bianco intermedio	Asienmittelreiher	Héron intermédiaire	Garceta Intermedia	Garça-branca-intermédia	Intermediate Egret
Ardea intermedia brachyrhyncha		Afrikamittelreiher	Héron à bec jaune	Garceta piquicorta		Intermediate Egret (Yellow-billed)
Ardea sp.			Ardea sp.			Ardea sp.
Egretta garzetta	Garzetta	Seidenreiher	Aigrette garzette	Garceta Común	Garça-branca-pequena	Little Egret
Egretta garzetta garzetta	Garzetta comune	Seidenreiher-garzetta	Aigrette garzette (nominal)			Little Egret (Western)
Egretta garzetta nigripes			Aigrette garzette (nigripes)			Little Egret (Australasian)
Egretta gularis	Airone schistaceo	Küstenreiher	Aigrette à gorge blanche	Garceta Dimorfa	Garça-dos-recifes	Western Reef-Heron
Egretta gularis gularis	Airone schistaceo		Aigrette des récifs			Western Reef-Heron (Western)
Egretta gularis schistacea	Airone schistaceo		Aigrette d'Arabie			Western Reef-Heron (Eastern)
Egretta garzetta x gularis			Hybride Aigrette garzette x A. à gorge blanche			Little Egret x Western Reef-Heron (hybrid)
Egretta garzetta/gularis			Aigrette garzette ou A. à gorge blanche			Little Egret/Western Reef-Heron
Egretta thula	Garzetta nivea	Schmuckreiher	Aigrette neigeuse	Garceta Nívea	Garcinha-branca	Snowy Egret
Egretta caerulea	Airone azzurro minore	Blaureiher	Aigrette bleue	Garceta Azul	Garca-azul	Little Blue Heron
Egretta tricolor	Airone tricolore	Dreifarbenreiher	Aigrette tricolore	Garceta Tricolor	Garça-tricolor	Tricolored Heron
Egretta ardesiaca	Airone ardesia	Glockenreiher	Aigrette ardoisée	Garceta Azabache	Garça-preta	Black Heron
Bubulcus ibis	Airone guardabuoi	Kuhreiher	Héron garde-boeufs	Garcilla Bueyera	Garca-vaqueira	Cattle Egret
Bubulcus ibis ibis	Airone guardabuoi	Kuhreiher	Héron garde-boeufs	Garcilla Bueyera	garça-vaqueira	Cattle Egret (Western)
Bubulcus ibis coromandus	Airone guardabuoi orientale	Östlicher Kuhreiher	Gardeboeuf d'Asie			Cattle Egret (Eastern)
Ardea/Egretta/Bubulcus sp.			Aigrette sp.			white egret sp.
Ardeola ralloides	Sgarza ciuffetto	Rallenreiher	Crabier chevelu	Garcilla Cangrejera	Papa-ratos	Squacco Heron
Ardeola grayii	Sgarza indiana	Paddyreiher	Crabier de Gray	Garcilla India	Papa-ratos-indiano	Indian Pond-Heron
Ardeola bacchus	Sgarza cinese	Bacchusreiher	Crabier chinois	Garcilla China	Papa-ratos da China	Chinese Pond-Heron
Butorides virescens	Airone verde	Grünreiher	Héron vert	Garcilla Verde	Socó-mirím	Green Heron
Butorides virescens virescens/bahamensis			Héron vert [virescens, maculata ou bahamaensis]			Green Heron (virescens/bahamensis)
Butorides striata	Airone striato	Mangrovereiher	Héron strié	Garcita Verdosa	Socozinho	Striated Heron
Butorides striata [atricapilla Group]			Héron strié [atricapilla]			Striated Heron (Old World)
Butorides virescens/striata	Airone striato	Mangrovereiher	Héron strié	Garcita Verdosa	Socozinho	Green/Striated Heron
Nycticorax nycticorax	Nitticora	Nachtreiher	Bihoreau gris	Martinete Común	Socó-taquari	Black-crowned Night-Heron
Nycticorax nycticorax nycticorax	Nitticora	Nachtreiher-nycticorax	Bihoreau gris (Eurasie)			Black-crowned Night-Heron (Eurasian)
Nycticorax nycticorax hoactli			Bihoreau gris (Amérique)	Garza Bruja		Black-crowned Night-Heron (American)
Nyctanassa violacea	Nitticora violacea	Krabbenreiher	Bihoreau violacé	Martinete Coronado	Matirao	Yellow-crowned Night-Heron
Nyctanassa violacea [violacea Group]			Bihoreau violacé [violacea]			Yellow-crowned Night-Heron (Yellow-crowned)
Nycticorax nycticorax/Nyctanassa violacea			Bihoreau gris ou B. violacé			Black-crowned/Yellow-crowned Night-Heron
Ardeidae sp.			Héron ou Aigrette sp.			heron sp.
Plegadis falcinellus	Mignattaio	Sichler	Ibis falcinelle	Morito Común	Íbis-preta	Glossy Ibis
Plegadis falcinellus/chihi	Mignattaio	Braunsichler	Ibis falcinelle	Ibis Castaña	Íbis-preta	Glossy/White-faced Ibis
Threskiornis aethiopicus	Ibis sacro	Heiliger Ibis	Ibis sacré	Ibis sagrado	Íbis-sagrada	African Sacred Ibis
Threskiornis aethiopicus/bernieri	Ibis sacro	Heiliger Ibis	Ibis sacré	Ibis Sagrado	Íbis-sagrada	African/Madagascar Sacred Ibis
Geronticus eremita	Ibis eremita	Waldrapp	Ibis chauve	Ibis Eremita	Íbis-calva	Northern Bald Ibis
Platalea leucorodia	Spatola	Löffler	Spatule blanche	Espátula Común	Colhereiro	Eurasian Spoonbill
Platalea alba	Spatola africana	Afrikanischer Löffler	Spatule d'Afrique	Espátula Africana	Colhereiro-africano	African Spoonbill
Platalea sp.			Platalea sp.			spoonbill sp.
Pandion haliaetus	Falco pescatore	Fischadler	Balbuzard pêcheur	Águila Pescadora	Águia-pesqueira	Osprey
Pandion haliaetus haliaetus	Falco pescatore	Fischadler-haliaetus	Balbuzard pêcheur (nominal)	Áquila pescadora		Osprey (haliaetus)
Pandion haliaetus carolinensis			Balbuzard pêcheur (Amérique)	Águila Pescadora		Osprey (carolinensis)
Elanus caeruleus	Nibbio bianco	Gleitaar	Élanion blanc	Elanio Común	Peneireiro-cinzento	Black-winged Kite
Elanus caeruleus caeruleus	Nibbio bianco	Gleitaar-caeruleus	Élanion blanc (nominal)	Elanio Común	Peneireiro-cinzento	Black-winged Kite (African)
Elanus caeruleus [vociferus Group]			Élanion blanc [vociferus, hypoleucus ou wahgiensis]			Black-winged Kite (Asian)
Gypaetus barbatus	Gipeto	Bartgeier	Gypaète barbu	Quebrantahuesos	Quebra-ossos	Bearded Vulture
Gypaetus barbatus barbatus	Gipeto	Bartgeier-barbatus	Gypaète barbu [barbatus, aureus ou hemachalanus]			Bearded Vulture (Eurasian)
Neophron percnopterus	Capovaccaio	Schmutzgeier	Percnoptère d'Égypte	Alimoche Común	Abutre do Egipto	Egyptian Vulture
Pernis apivorus	Falco pecchiaiolo	Wespenbussard	Bondrée apivore	Abejero Europeo	Bútio-vespeiro	European Honey-buzzard
Pernis ptilorhynchus	Falco pecchiaiolo orientale	Schopfwespenbussard	Bondrée orientale	Abejero Oriental	Bútio-vespeiro-oriental	Oriental Honey-buzzard
Pernis ptilorhynchus orientalis		Schopfwespenbussard-orientalis	Bondrée sibérienne			Oriental Honey-buzzard (Northern)
Pernis apivorus/ptilorhynchus	Falco pecchiaiolo	Wespenbussard	Bondrée apivore	Abejero Europeo	Bútio-vespeiro	European/Oriental Honey-buzzard
Elanoides forficatus	Nibbio codaforcuta	Schwalbenweih	Naucler à queue fourchue	Elanio Tijereta	Gaviao-tesoura	Swallow-tailed Kite
Aegypius monachus	Avvoltoio monaco	Mönchsgeier	Vautour moine	Buitre Negro	Abutre-preto	Cinereous Vulture
Torgos tracheliotos	Avvoltoio orecchiuto	Ohrengeier	Vautour oricou	Buitre Orejudo	Abutre-real	Lappet-faced Vulture
Gyps africanus	Grifone africano	Weißrückengeier	Vautour africain	Buitre Dorsiblanco Africano	Grifo do cabo	White-backed Vulture
Gyps bengalensis	Avvoltoio groppabianca	Bengalengeier	Vautour chaugoun	Buitre Dorsiblanco Bengalí	Grifo de Bengala	White-rumped Vulture
Gyps rueppelli	Grifone di Rüppell	Sperbergeier	Vautour de Rüppell	Buitre Moteado	Grifo de Rüppell	Rüppell's Griffon
Gyps fulvus	Grifone	Gänsegeier	Vautour fauve	Buitre Leonado	Grifo-comum	Eurasian Griffon
Gyps sp.			Gyps sp.			Gyps sp.
Accipitridae sp. (old world vulture sp.)			Vautour sp.			old world vulture sp.
Terathopius ecaudatus	Falco giocoliere	Gaukler	Bateleur des savanes	Águila Volatinera	Águia-bailarina	Bateleur
Circaetus gallicus	Biancone	Schlangenadler	Circaète Jean-le-Blanc	Culebrera Europea	Águia-cobreira	Short-toed Snake-Eagle
Circaetus sp.			Circaetus sp.			snake-eagle sp.
Clanga pomarina	Aquila anatraia minore	Schreiadler	Aigle pomarin	Águila Pomerana	Águia-pomarina	Lesser Spotted Eagle
Clanga clanga	Aquila anatraia maggiore	Schelladler	Aigle criard	Águila Moteada	Águia-gritadeira	Greater Spotted Eagle
Clanga pomarina x clanga			Hybride Aigle pomarin x A. criard			Lesser x Greater Spotted Eagle (hybrid)
Clanga pomarina/clanga			Aigle pomarin ou A. criard			Lesser/Greater Spotted Eagle
Hieraaetus pennatus	Aquila minore	Zwergadler	Aigle botté	Águila calzada	Águia-calçada	Booted Eagle
Aquila nipalensis	Aquila delle steppe	Steppenadler	Aigle des steppes	Águila Esteparia	Águia-das-estepes	Steppe Eagle
